character_name,equipment_set,wins,losses,winrate,is_boss
Gabe,KangTao,18,18,50.0,False
Gabe,Liquidation,22,20,52.38095238095239,False
Gabe,Militech,9,16,36.0,False
Gabe,NUSA,17,10,62.96296296296296,False
Gabe,Newspaper,22,16,57.89473684210527,False
Gabe,OldRusty,9,11,45.0,False
Gabe,Purplestar,15,17,46.875,False
Gabe,Rainbow,15,17,46.875,False
Gabe,Rose,9,12,42.857142857142854,False
Gabe,Runic,14,18,43.75,False
Gabe,Snowflake,9,20,31.03448275862069,False
Gabe,Sovereign,24,14,63.1578947368421,False
Gabe,Tigris,18,17,51.42857142857142,False
Gawain,1987,114,171,40.0,False
Gawain,7891,109,147,42.578125,False
Gawain,Arasaka,130,190,40.625,False
Gawain,Bamboo,130,156,45.45454545454545,False
Gawain,Cloud,114,157,42.066420664206646,False
Gawain,Cosmic,128,151,45.878136200716845,False
